Smiles,pIC50
O=C(NCCO)C1=CC=CC=C1OC1=NC=C(Cl)C=C1NS(=O)(=O)C1=CC=C(Cl)C(Cl)=C1,4.69
CCS(=O)(=O)C1=CC=C2NC(C3=CC=CC(C4=CC=CC=C4)=N3)=NC2=C1,5.11
CN(C)S(=O)(=O)C1=CC=CC=C1N1CCC(N(C2=CC=C(C#N)C=C2)C2=CC=CN=C2)CC1,5.7
CCOC1=CC=C2NC(SCC3=CC=CC=N3)=NC2=C1,6.4
N#CC1=CNC(C(=O)NC2=CC=C(C3CCN(C(=O)CC4=CC=NC=C4)CC3)C=C2C2=CCCCC2)=N1,6.0
COC1=CC(C2=CC=C(Cl)C(C)=C2)=CC=C1N1C(=O)C=CC2=CC(S(=O)(=O)NC3=NOC=C3)=CC=C21,4.5
CC[C@@H](C1=CC=C(C2=CN(CC)C(=O)C=C2)C=C1)N1CC[C@](CC(C)(C)O)(C2=CC=CC=C2)OC1=O,4.32
NCC#CC1=CN=CC=C1C1=CC=CC=C1,4.41
CC1=NC2=C(C=NN2C2=CSC(C(=O)NC3COC3)=C2)C=C1NC1=C(F)C=CC=C1Cl,5.77
O[C@H](C[C@H]1C2=C(F)C=CC=C2C2=CN=CN21)[C@H]1CC[C@@H](O)CC1,5.51
ON=C(O)C1=CC=C(C2=CC=C(CNCC3=CC=CC=C3)C=N2)S1,4.58
CCOC(=O)C1=CC(C#N)=C(N2CC(C(=O)NS(=O)(=O)CC3=CC=C(Cl)C=C3)C2)N=C1C,5.48
CC1=NC(C2=NN=C3[C@@H](C)N(C(=O)C4=CC=C(C5=CC=CS5)C=C4)CCN23)=CS1,4.3
CC1=C(C2=NC(N)=C(OC[C@@H](N)CC3=CNC4=CC=CC=C34)C=C2C2=CN=C3NN=C(C)C3=C2)C=CO1,6.0
O=C(N[C@@H](C1=CC=CC=N1)C1CC1)C1=CC=C2NN=C(C3=CC=C(N4[C@H]5CC[C@H]4CC(O)C5)C=C3)C2=C1,5.869999999999999
COC1=C(C(C)(C)C)C=C(C(=O)CN2C(NCCCO)=NC3=CC(C)=C(C)C=C32)C=C1C(C)(C)C,4.17
NC1=CC(CC2=NN(CC3=CC=CC=C3)C=C2)=C2NN=NC2=N1,6.51
CC(C(C1=CC=C2C=C(OCC3=CC=CC(C(=O)O)=C3)C=CC2=C1)N1C=CN=C1)N(C)C,5.609999999999999
O=C(N[C@@H](CC1=CC=CC=C1)[C@H](O)CN(CCN1CCOCC1)C(=O)C1=CC=C2N=C(N3CCCC3)OC2=C1)OCC1=CN=CS1,6.92
COC1=CC2=C(C=C1C1=C(C)ON=C1C)N=CC1=C2N(C(C)C2=CC=CC=C2)C(=O)N1,5.7
O=C1NC2=CC=C(C(F)(F)F)C=C2C(C2=CC(Cl)=CC=C2O)=C1CCO,5.09
O=S(=O)(NC1=CC=C(C2=CC=CO2)C=C1)C1=CC(Cl)=CC(Cl)=C1,4.89
CCS(=O)(=O)C1=CC=C2NC(C3=CC=CC(C4=CC=CC=C4)=C3Cl)=NC2=C1,5.42
COC1=CC=CC2=C1N=C(N1CCCC(N)C1)N(CC1=CC=CC=C1C#N)C2=O,6.2
O=C(C1=CC=CC(Cl)=C1N1N=CC=N1)N1CCOC[C@H]1CC1=CC(C2=NOC=N2)=CC=C1F,4.44
O=C(CC1([C@H]2COC[C@@H](C3CC3)N2S(=O)(=O)C2=CC=C(F)C=C2)CC1)N1CCC(N2CCCCC2)CC1,5.82
NC1=NC=CC(OC2=CC=C(NC(=O)NC(=O)CC3=CC=C(F)C=C3)C=C2F)=C1C#CC1=CC=CC=N1,4.43
C[C@@H](N)C1=CC(Cl)=CC=C1CN1C(=S)NC(=O)C2=C1C=CN2,5.22
O=C([C@H]1CNCC[C@@]12OCC1=CC(F)=C(F)C=C12)N(CC1=CC=CC2=CC=CC=C12)C1CC1,5.22
CC(=O)N1C2=CC=C(C3=CC=C(CN4CCCCC4)C=C3)C=C2[C@H](NC2=CC=CC=C2)C[C@@H]1C,5.35
CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,6.0
CN1CCN(C(=O)C2(C(=O)NC3=CC(Cl)=CC=C3Cl)CC2)C2=CC=CC=C21,6.57
CC1=CC(Cl)=C(OCCOC2=CC=C([C@H]3CCNC[C@@H]3C(=O)N(CC3=CC=CC(C)=C3C)C3CC3)C=C2)C(Cl)=C1,5.045
COC1=CC(OC)=C([C@@H]2[C@H](C)[C@@H](C)[C@H]2C2=CC(OC)=C(OC)C=C2OC)C=C1OC,4.07
C[C@@H]1CN(C(=O)C2=CC=CC(Cl)=C2N2N=CC=N2)[C@H](CC2=CC(C3=NC=CC=N3)=CC=C2F)CO1,4.62
COC1=CC=C2NC(SCC3=CC=C(C(C)(C)C)C=C3)=NC2=C1,4.91
NC1=CC=C(C2=CC=C(CC3=CC=NC=C3)C=C2)C=C1,5.61
CCNCC1=CC(NC2=CC=NC3=CC(Cl)=CC=C23)=CC=C1O,4.413333333333333
O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)C3=CC=C(Cl)C=C3)C3=C(F)C=CC(F)=C3OC[C@@H]12)C[C@H]1CCCN1,6.0
